candidate_source,method,mode,rep,kappa,size,instance_index,instance_name,objective,distance,tardiness,runtime_s,status,objective_validation,objective_consistency_error,instance_hash_source
Gurobi,Gurobi,,,2,20,26,N20_K2_M12_I26,10.78767125228058,16.02340990088814,5.55193260367302,3600.005999803543,time_limit_feasible,components_recomputed,0.0,source_record
Gurobi,Gurobi,,,2,20,27,N20_K2_M12_I27,9.268625423174178,14.499376587563674,4.037874258784681,3600.0069999694824,time_limit_feasible,components_recomputed,0.0,source_record
Gurobi,Gurobi,,,2,20,28,N20_K2_M12_I28,11.114042046802936,16.84691822324459,5.381165870361284,3600.010999917984,time_limit_feasible,components_recomputed,0.0,source_record
Gurobi,Gurobi,,,2,20,29,N20_K2_M12_I29,10.625123085668289,14.56878767071768,6.6814585006189,3600.0110001564026,time_limit_feasible,components_recomputed,1.7763568394002505e-15,source_record
Gurobi,Gurobi,,,2,20,30,N20_K2_M12_I30,9.519152850624335,15.48705052673758,3.5512551745110903,3600.012000083924,time_limit_feasible,components_recomputed,0.0,source_record
Gurobi,Gurobi,,,2,20,31,N20_K2_M12_I31,8.15932247997046,12.159036204722986,4.159608755217932,3600.023999929428,time_limit_feasible,components_recomputed,0.0,source_record
Gurobi,Gurobi,,,2,20,32,N20_K2_M12_I32,7.424685403903448,11.97179373721799,2.8775770705889068,3600.023000001908,time_limit_feasible,components_recomputed,0.0,source_record
Gurobi,Gurobi,,,2,20,33,N20_K2_M12_I33,8.369812970572829,14.93692267790365,1.8027032632420068,3600.023999929428,time_limit_feasible,components_recomputed,0.0,source_record
Gurobi,Gurobi,,,2,20,34,N20_K2_M12_I34,10.72354076900072,15.553156824993978,5.893924713007463,3600.0080001354218,time_limit_feasible,components_recomputed,0.0,source_record
Gurobi,Gurobi,,,2,20,35,N20_K2_M12_I35,12.073208117867171,17.90715502047688,6.239261215257463,3600.016000032425,time_limit_feasible,components_recomputed,0.0,source_record
Gurobi,Gurobi,,,2,20,36,N20_K2_M12_I36,8.962483388241887,14.713782285658818,3.211184490824958,3600.010999917984,time_limit_feasible,components_recomputed,0.0,source_record
Gurobi,Gurobi,,,2,20,37,N20_K2_M12_I37,11.894951058088267,16.546011580398297,7.243890535778237,3600.0099999904637,time_limit_feasible,components_recomputed,0.0,source_record
Gurobi,Gurobi,,,2,20,38,N20_K2_M12_I38,9.70301458166936,16.583801819963156,2.8222273433755625,3600.0090000629425,time_limit_feasible,components_recomputed,0.0,source_record
Gurobi,Gurobi,,,2,20,39,N20_K2_M12_I39,11.219342693474015,16.956068284693274,5.482617102254758,3600.007999897003,time_limit_feasible,components_recomputed,0.0,source_record
Gurobi,Gurobi,,,2,20,40,N20_K2_M12_I40,9.63158511809626,15.063255269196253,4.199914966996271,3600.0099999904637,time_limit_feasible,components_recomputed,1.7763568394002505e-15,source_record
Gurobi,Gurobi,,,2,20,41,N20_K2_M12_I41,10.135488248590931,15.394862912253904,4.876113584927961,3600.010999917984,time_limit_feasible,components_recomputed,1.7763568394002505e-15,source_record
Gurobi,Gurobi,,,2,20,42,N20_K2_M12_I42,10.733794990564956,15.480411793270742,5.98717818785917,3600.010999917984,time_limit_feasible,components_recomputed,0.0,source_record
Gurobi,Gurobi,,,2,20,43,N20_K2_M12_I43,8.665807851263946,14.461927365848895,2.869688336678995,3600.0090000629425,time_limit_feasible,components_recomputed,0.0,source_record
Gurobi,Gurobi,,,2,20,44,N20_K2_M12_I44,10.900861900760708,16.893561986990967,4.908161814530448,3600.0099999904637,time_limit_feasible,components_recomputed,0.0,source_record
Gurobi,Gurobi,,,2,20,45,N20_K2_M12_I45,10.762644391552056,16.62122341726567,4.904065365838441,3600.007999897003,time_limit_feasible,components_recomputed,0.0,source_record
Gurobi,Gurobi,,,2,20,46,N20_K2_M12_I46,7.23751205513071,11.961929010833122,2.513095099428298,3600.010999917984,time_limit_feasible,components_recomputed,0.0,source_record
Gurobi,Gurobi,,,2,20,47,N20_K2_M12_I47,9.147461992914604,14.27249944371778,4.02242454211143,3600.013999938965,time_limit_feasible,components_recomputed,1.7763568394002505e-15,source_record
Gurobi,Gurobi,,,2,20,48,N20_K2_M12_I48,8.9940965808066,13.947493844075067,4.04069931753813,3600.010999917984,time_limit_feasible,components_recomputed,1.7763568394002505e-15,source_record
Gurobi,Gurobi,,,2,20,49,N20_K2_M12_I49,9.967439549786736,16.3820432371717,3.5528358624017726,3600.013999938965,time_limit_feasible,components_recomputed,0.0,source_record
Gurobi,Gurobi,,,2,20,50,N20_K2_M12_I50,12.291853478009523,18.1411857567438,6.442521199275246,3600.0099999904637,time_limit_feasible,components_recomputed,1.7763568394002505e-15,source_record
Gurobi,Gurobi,,,2,20,51,N20_K2_M12_I51,11.413671811500286,14.618517462465316,8.208826160535256,3600.0080001354218,time_limit_feasible,components_recomputed,0.0,source_record
Gurobi,Gurobi,,,2,20,52,N20_K2_M12_I52,10.115689884659009,14.82175552645031,5.409624242867703,3600.003000020981,time_limit_feasible,components_recomputed,1.7763568394002505e-15,source_record
Gurobi,Gurobi,,,2,20,53,N20_K2_M12_I53,9.95391339934168,13.795480727600848,6.112346071082511,3600.0060000419617,time_limit_feasible,components_recomputed,0.0,source_record
