category,method,mode,kappa,size,instance_index,instance_name,repetition_n,mean_objective,bks_objective,rpd
MILP,Gurobi,,2,50,39,N50_K2_M12_I39,1,21.123211917169904,13.709134101867676,54.08129908286596
MILP,Gurobi,,2,50,40,N50_K2_M12_I40,1,28.20907187040174,17.45436668395996,61.61612954038046
MILP,Gurobi,,2,50,41,N50_K2_M12_I41,1,17.62814506015802,14.50544939650749,21.527741597598396
MILP,Gurobi,,2,50,42,N50_K2_M12_I42,1,23.19884529675455,15.475391387939451,49.90797140571367
MILP,Gurobi,,2,50,43,N50_K2_M12_I43,1,28.871052078788424,15.967313565476452,80.81345969939267
MILP,Gurobi,,2,50,44,N50_K2_M12_I44,1,15.645805960277254,14.276342391967772,9.592537995446069
MILP,Gurobi,,2,50,45,N50_K2_M12_I45,1,21.12782017423053,15.934377670288086,32.59269117002514
MILP,Gurobi,,2,50,46,N50_K2_M12_I46,1,21.37845577946718,16.03384017944336,33.33334709719782
MILP,Gurobi,,2,50,47,N50_K2_M12_I47,1,20.77167631546784,15.509042248607006,33.93268251192954
MILP,Gurobi,,2,50,48,N50_K2_M12_I48,1,19.41781803058455,11.67228858847885,66.35827570054201
MILP,Gurobi,,2,50,49,N50_K2_M12_I49,1,20.014535482742268,12.503193716154142,60.07538503449293
MILP,Gurobi,,2,50,50,N50_K2_M12_I50,1,13.963584053275127,13.791443692462698,1.2481678107891463
MILP,Gurobi,,2,50,51,N50_K2_M12_I51,1,24.193575163026782,14.56344985961914,66.1253027011794
MILP,Gurobi,,2,50,52,N50_K2_M12_I52,1,19.405756487941133,14.319642066955566,35.518446600857686
MILP,Gurobi,,2,50,53,N50_K2_M12_I53,1,14.73269360651222,12.376340866088867,19.039171318234704
MILP,Gurobi,,2,50,54,N50_K2_M12_I54,1,21.77335266944636,15.409957885742188,41.29404396096241
