method,kappa,size,mechanism,decode,n_instances,objective_mean,objective_sd,distance_mean,tardiness_mean,id_degradation_percent_mean,rank
AM,3,50,D-Bimodal,sample1280,100,27.592936577204004,5.024583510351868,40.099942893981,15.0859302604192,16.938398325081184,3
AM,3,50,D-IID,greedy,100,26.699645575290006,4.355280136267036,42.465682525625986,10.933608624938278,3.7300759983476457,4
AM,3,50,D-IID,sample1280,100,24.274207060339,3.723522558469816,39.451341171266996,9.0970729494113,2.7920537655826583,4
AM,3,50,ID,greedy,100,25.971043001411005,2.2721056898464744,42.70759746551301,9.2344885373116,0.0,3
AM,3,50,ID,sample1280,100,23.73078326702,1.8066073528298523,39.519970512399,7.9415960216522,0.0,4
AM,3,50,Joint,greedy,100,27.152288189530996,4.680895279497755,42.66270023346299,11.641876145601708,5.225193561760718,3
AM,3,50,Joint,sample1280,100,24.540134944316005,4.003092070903435,39.732317047113,9.347952841518161,3.8485689445568694,4
AM,3,50,P-Lognormal,greedy,100,26.209246946573995,2.058464843345422,42.957122192387004,9.461371700764701,1.2155496873376375,2
AM,3,50,P-Lognormal,sample1280,100,24.052597174641,1.8209139595193184,39.772848625184,8.332345724108,1.4296622118714728,3
AM,3,50,P-TruncNormal,greedy,100,25.843731402158998,2.1097048644560594,42.638364982603,9.0490978217152,-0.2879661043224937,4
AM,3,50,P-TruncNormal,sample1280,100,23.726687169073998,1.8048740846294795,39.667282447818,7.7860918903352,0.015270019309187841,4
Co-HeT,2,20,D-AntiDistance,greedy,100,12.576499106890399,1.0666660044381544,18.32081549644,6.832182717324299,20.391447602215056,1
Co-HeT,2,20,D-AntiDistance,sample1280,100,12.181296575069899,1.0363293163516931,17.745768089291,6.616825060844401,20.61935774363399,1
Co-HeT,2,20,D-Bimodal,greedy,100,11.5590462312124,2.119219226581704,16.863605813976,6.254486648439659,10.627580286882425,1
Co-HeT,2,20,D-Bimodal,sample1280,100,11.169785078466298,2.0421513308389874,16.232261238101,6.1073089188341205,10.513622972399949,1
Co-HeT,2,20,D-IID,greedy,100,10.425506653190801,2.167413832278319,16.331424989699002,4.519588316678649,-0.12013611440631969,1
Co-HeT,2,20,D-IID,sample1280,100,10.0845738667237,2.0910864462151237,15.730188961023998,4.438958772421026,-0.14461267729146837,1
Co-HeT,2,20,ID,greedy,100,10.5130464482368,1.0642845536378949,16.601404447553,4.424688448905701,0.0,1
Co-HeT,2,20,ID,sample1280,100,10.1647870838619,1.0477907489783485,15.868472900395,4.4611012673376,0.0,1
Co-HeT,2,20,Joint,greedy,100,10.439805161060201,1.9980102144424023,16.422479362489003,4.457130959629738,-0.24794520244552687,1
Co-HeT,2,20,Joint,sample1280,100,10.0592775443201,1.9496936298927514,15.752971906665003,4.365583181977327,-0.49663223389535355,1
Co-HeT,2,20,P-Lognormal,greedy,100,10.519889691467899,1.0885651445976279,16.498179883957,4.5415994989876,0.1505671238880845,1
Co-HeT,2,20,P-Lognormal,sample1280,100,10.2259913891546,1.0812346829038615,15.950437564853003,4.5015452134609,0.6569662369681154,1
Co-HeT,2,20,P-TruncNormal,greedy,100,10.4508450305459,1.0525120550000375,16.430643033981998,4.471047027110999,-0.5214530506249971,1
Co-HeT,2,20,P-TruncNormal,sample1280,100,10.1628481256954,1.023198109439156,15.907315225601998,4.4183810257908,0.04344032302073087,1
Co-HeT,2,50,D-AntiDistance,greedy,100,18.460850427150998,1.1721398765615543,28.485266571045,8.436434283257602,19.105039921859362,1
Co-HeT,2,50,D-AntiDistance,sample1280,100,17.620405313975,1.0927948993585368,27.412580242157002,7.8282303857791,19.346746254802028,1
Co-HeT,2,50,D-Bimodal,greedy,100,17.575078675743,3.272974191847808,27.750112133022995,7.40004521846827,13.214970427796978,1
Co-HeT,2,50,D-Bimodal,sample1280,100,16.40862008512,2.850048267425778,26.727537956227998,6.08970221400371,11.059011857916014,1
Co-HeT,2,50,D-IID,greedy,100,15.796611234544999,2.4093069356097225,26.527064189909996,5.066158279180683,1.6904528552738072,1
Co-HeT,2,50,D-IID,sample1280,100,14.971922044751999,2.283229299381857,25.280738449099996,4.663105640410754,1.1963217689001235,1
Co-HeT,2,50,ID,greedy,100,15.599007830622,1.4063578292501282,26.316914730071,4.881100931167801,0.0,1
Co-HeT,2,50,ID,sample1280,100,14.852172011136002,1.3004495616360705,25.079777641301003,4.6245663809778,0.0,1
Co-HeT,2,50,Joint,greedy,100,15.886265519259998,2.461942772255113,26.562688064578996,5.20984297394829,2.4636471520376406,1
Co-HeT,2,50,Joint,sample1280,100,15.024771846827,2.265042534178731,25.255915813447004,4.793627880215971,1.7444223294544967,1
Co-HeT,2,50,P-Lognormal,greedy,100,15.783438900106002,1.428370218421186,26.501311035155005,5.0655667650703196,1.2723879672296314,1
Co-HeT,2,50,P-Lognormal,sample1280,100,14.953930808906,1.2998607072006276,25.059839725496005,4.8480218923092995,0.7349586615246398,1
Co-HeT,2,50,P-TruncNormal,greedy,100,15.590559797291002,1.3650959926177342,26.375606288914003,4.805513305664,0.029922519881021285,1
Co-HeT,2,50,P-TruncNormal,sample1280,100,14.849260784389003,1.2886061923397063,25.029826698304007,4.6686948704721,0.010587448027569439,1
Co-HeT,3,20,D-AntiDistance,greedy,100,17.66840562582,1.5462365199287238,24.587462406163993,10.749348845481801,21.270231749071865,1
Co-HeT,3,20,D-AntiDistance,sample1280,100,16.905934870242,1.4462884434699028,24.20021057129,9.611659169198,20.08308277713495,1
Co-HeT,3,20,D-Bimodal,greedy,100,15.898681684728,2.4238371925091737,22.872452697759005,8.924910671707101,9.339048159558784,1
